year;month;day;weekday;exits;in_sample;Date
2010;5;23;6;4265.0;True;2010-05-23 00:00:00
2010;5;24;0;15955.0;True;2010-05-24 00:00:00
2010;5;25;1;16563.0;True;2010-05-25 00:00:00
2010;5;26;2;16467.0;True;2010-05-26 00:00:00
2010;5;27;3;16188.0;True;2010-05-27 00:00:00
2010;5;28;4;15344.0;True;2010-05-28 00:00:00
2010;5;29;5;6939.5;True;2010-05-29 00:00:00
2010;5;30;6;6326.0;True;2010-05-30 00:00:00
2010;5;31;0;6105.0;True;2010-05-31 00:00:00
2010;6;1;1;13286.0;True;2010-06-01 00:00:00
2010;6;2;2;14244.0;True;2010-06-02 00:00:00
2010;6;3;3;11783.0;True;2010-06-03 00:00:00
2010;6;4;4;15203.0;True;2010-06-04 00:00:00
2010;6;5;5;6689.0;True;2010-06-05 00:00:00
2010;6;6;6;4324.0;True;2010-06-06 00:00:00
2010;6;7;0;16847.0;True;2010-06-07 00:00:00
2010;6;8;1;16188.0;True;2010-06-08 00:00:00
2010;6;9;2;16894.0;True;2010-06-09 00:00:00
2010;6;10;3;17900.0;True;2010-06-10 00:00:00
2010;6;11;4;17512.0;True;2010-06-11 00:00:00
2010;6;12;5;15752.5;True;2010-06-12 00:00:00
2010;6;13;6;14043.0;True;2010-06-13 00:00:00
2010;6;14;0;33780.0;True;2010-06-14 00:00:00
2010;6;15;1;43605.0;True;2010-06-15 00:00:00
2010;6;16;2;35898.0;True;2010-06-16 00:00:00
2010;6;17;3;36459.0;True;2010-06-17 00:00:00
2010;6;18;4;36271.0;True;2010-06-18 00:00:00
2010;6;19;5;12718.5;True;2010-06-19 00:00:00
2010;6;20;6;8048.0;True;2010-06-20 00:00:00
2010;6;21;0;20997.0;True;2010-06-21 00:00:00
2010;6;22;1;21324.0;True;2010-06-22 00:00:00
2010;6;23;2;21957.0;True;2010-06-23 00:00:00
2010;6;24;3;21557.0;True;2010-06-24 00:00:00
2010;6;25;4;20890.0;True;2010-06-25 00:00:00
2010;6;26;5;14589.0;True;2010-06-26 00:00:00
2010;6;27;6;10123.0;True;2010-06-27 00:00:00
2010;6;28;0;32409.0;True;2010-06-28 00:00:00
2010;6;29;1;33589.0;True;2010-06-29 00:00:00
2010;6;30;2;33869.0;True;2010-06-30 00:00:00
2010;7;1;3;33412.0;True;2010-07-01 00:00:00
2010;7;2;4;31621.0;True;2010-07-02 00:00:00
2010;7;3;5;11358.0;True;2010-07-03 00:00:00
2010;7;4;6;9663.0;True;2010-07-04 00:00:00
2010;7;5;0;10073.0;True;2010-07-05 00:00:00
2010;7;6;1;27712.0;True;2010-07-06 00:00:00
2010;7;7;2;26930.0;True;2010-07-07 00:00:00
2010;7;8;3;29440.0;True;2010-07-08 00:00:00
2010;7;9;4;29759.0;True;2010-07-09 00:00:00
2010;7;10;5;3379.5;True;2010-07-10 00:00:00
2010;7;11;6;2092.0;True;2010-07-11 00:00:00
2010;7;12;0;8411.0;True;2010-07-12 00:00:00
