date;exits;year;month;day;weekday
2010-05-23;4265.0;2010;5;23;6
2010-05-24;15955.0;2010;5;24;0
2010-05-25;16563.0;2010;5;25;1
2010-05-26;16467.0;2010;5;26;2
2010-05-27;16188.0;2010;5;27;3
2010-05-28;15344.0;2010;5;28;4
2010-05-29;6939.5;2010;5;29;5
2010-05-30;6326.0;2010;5;30;6
2010-05-31;6105.0;2010;5;31;0
2010-06-01;13286.0;2010;6;1;1
2010-06-02;14244.0;2010;6;2;2
2010-06-03;11783.0;2010;6;3;3
2010-06-04;15203.0;2010;6;4;4
2010-06-05;6689.0;2010;6;5;5
2010-06-06;4324.0;2010;6;6;6
2010-06-07;16847.0;2010;6;7;0
2010-06-08;16188.0;2010;6;8;1
2010-06-09;16894.0;2010;6;9;2
2010-06-10;17900.0;2010;6;10;3
2010-06-11;17512.0;2010;6;11;4
2010-06-12;15752.5;2010;6;12;5
2010-06-13;14043.0;2010;6;13;6
2010-06-14;33780.0;2010;6;14;0
2010-06-15;43605.0;2010;6;15;1
2010-06-16;35898.0;2010;6;16;2
2010-06-17;36459.0;2010;6;17;3
2010-06-18;36271.0;2010;6;18;4
2010-06-19;12718.5;2010;6;19;5
2010-06-20;8048.0;2010;6;20;6
2010-06-21;20997.0;2010;6;21;0
2010-06-22;21324.0;2010;6;22;1
2010-06-23;21957.0;2010;6;23;2
2010-06-24;21557.0;2010;6;24;3
2010-06-25;20890.0;2010;6;25;4
2010-06-26;14589.0;2010;6;26;5
2010-06-27;10123.0;2010;6;27;6
2010-06-28;32409.0;2010;6;28;0
2010-06-29;33589.0;2010;6;29;1
2010-06-30;33869.0;2010;6;30;2
2010-07-01;33412.0;2010;7;1;3
2010-07-02;31621.0;2010;7;2;4
2010-07-03;11358.0;2010;7;3;5
2010-07-04;9663.0;2010;7;4;6
2010-07-05;10073.0;2010;7;5;0
2010-07-06;27712.0;2010;7;6;1
2010-07-07;26930.0;2010;7;7;2
2010-07-08;29440.0;2010;7;8;3
2010-07-09;29759.0;2010;7;9;4
2010-07-10;3379.5;2010;7;10;5
2010-07-11;2092.0;2010;7;11;6
2010-07-12;8411.0;2010;7;12;0
2010-07-13;8008.0;2010;7;13;1
2010-07-14;3863.0;2010;7;14;2
2010-07-15;9020.0;2010;7;15;3
2010-07-16;8424.0;2010;7;16;4
2010-07-17;9833.0;2010;7;17;5
2010-07-18;8589.0;2010;7;18;6
2010-07-19;32264.0;2010;7;19;0
2010-07-20;31425.0;2010;7;20;1
2010-07-21;34640.0;2010;7;21;2
2010-07-22;34680.0;2010;7;22;3
2010-07-23;33862.0;2010;7;23;4
2010-07-24;6293.5;2010;7;24;5
2010-07-25;3241.0;2010;7;25;6
2010-07-26;9885.0;2010;7;26;0
2010-07-27;10394.0;2010;7;27;1
2010-07-28;5562.0;2010;7;28;2
2010-07-29;10464.0;2010;7;29;3
2010-07-30;10826.0;2010;7;30;4
2010-07-31;8402.5;2010;7;31;5
2010-08-01;5857.0;2010;8;1;6
2010-08-02;20918.0;2010;8;2;0
2010-08-03;21741.0;2010;8;3;1
2010-08-04;22180.0;2010;8;4;2
2010-08-05;21878.0;2010;8;5;3
2010-08-06;22676.0;2010;8;6;4
2010-08-07;5769.5;2010;8;7;5
2010-08-08;3406.0;2010;8;8;6
