time;entries;exits;station
2010-05-23 00:00:00;686.0;751.0;FULTON ST
2010-05-23 04:00:00;99.0;127.0;FULTON ST
2010-05-23 08:00:00;392.0;427.0;FULTON ST
2010-05-23 12:00:00;1207.0;1200.0;FULTON ST
2010-05-23 16:00:00;1923.0;1133.0;FULTON ST
2010-05-23 20:00:00;1370.0;627.0;FULTON ST
2010-05-24 00:00:00;344.0;213.0;FULTON ST
2010-05-24 04:00:00;277.0;1224.0;FULTON ST
2010-05-24 08:00:00;2217.0;7838.0;FULTON ST
2010-05-24 12:00:00;3378.0;3319.0;FULTON ST
2010-05-24 16:00:00;8634.0;1965.0;FULTON ST
2010-05-24 20:00:00;4858.0;1396.0;FULTON ST
2010-05-25 00:00:00;557.0;256.0;FULTON ST
2010-05-25 04:00:00;181.0;482.0;FULTON ST
2010-05-25 08:00:00;2433.0;8668.0;FULTON ST
2010-05-25 12:00:00;3508.0;3471.0;FULTON ST
2010-05-25 16:00:00;9289.0;2277.0;FULTON ST
2010-05-25 20:00:00;5214.0;1409.0;FULTON ST
2010-05-26 00:00:00;658.0;306.0;FULTON ST
2010-05-26 04:00:00;170.0;501.0;FULTON ST
2010-05-26 08:00:00;2518.0;8488.0;FULTON ST
2010-05-26 12:00:00;3709.0;3398.0;FULTON ST
2010-05-26 16:00:00;8779.0;2216.0;FULTON ST
2010-05-26 20:00:00;5569.0;1558.0;FULTON ST
2010-05-27 00:00:00;806.0;270.0;FULTON ST
2010-05-27 04:00:00;158.0;496.0;FULTON ST
2010-05-27 08:00:00;2463.0;8416.0;FULTON ST
2010-05-27 12:00:00;3636.0;3360.0;FULTON ST
2010-05-27 16:00:00;9057.0;2195.0;FULTON ST
2010-05-27 20:00:00;5305.0;1451.0;FULTON ST
2010-05-28 00:00:00;740.0;272.0;FULTON ST
2010-05-28 04:00:00;182.0;421.0;FULTON ST
2010-05-28 08:00:00;2656.0;7758.0;FULTON ST
2010-05-28 12:00:00;4739.0;3347.0;FULTON ST
2010-05-28 16:00:00;9800.0;2486.0;FULTON ST
2010-05-28 20:00:00;4116.0;1060.0;FULTON ST
2010-05-29 04:00:00;177.0;189.0;FULTON ST
2010-05-29 08:00:00;618.0;777.0;FULTON ST
2010-05-29 12:00:00;2147.0;1486.0;FULTON ST
2010-05-29 16:00:00;3628.0;2150.0;FULTON ST
2010-05-29 20:00:00;3306.0;1713.0;FULTON ST
2010-05-30 00:00:00;1126.0;759.0;FULTON ST
2010-05-30 04:00:00;148.0;177.0;FULTON ST
2010-05-30 08:00:00;516.0;505.0;FULTON ST
2010-05-30 12:00:00;2052.0;1588.0;FULTON ST
2010-05-30 16:00:00;3616.0;1959.0;FULTON ST
2010-05-30 20:00:00;3178.0;1338.0;FULTON ST
2010-05-31 00:00:00;1195.0;523.0;FULTON ST
2010-05-31 04:00:00;156.0;120.0;FULTON ST
2010-05-31 08:00:00;556.0;677.0;FULTON ST
2010-05-31 12:00:00;2040.0;1643.0;FULTON ST
2010-05-31 16:00:00;3794.0;1960.0;FULTON ST
2010-05-31 20:00:00;2862.0;1182.0;FULTON ST
2010-06-01 00:00:00;705.0;348.0;FULTON ST
2010-06-01 04:00:00;185.0;503.0;FULTON ST
2010-06-01 08:00:00;2550.0;4640.0;FULTON ST
2010-06-01 12:00:00;3286.0;3313.0;FULTON ST
2010-06-01 16:00:00;9811.0;2606.0;FULTON ST
2010-06-01 20:00:00;8664.0;1876.0;FULTON ST
2010-06-02 00:00:00;1007.0;359.0;FULTON ST
2010-06-02 04:00:00;203.0;341.0;FULTON ST
2010-06-02 08:00:00;3272.0;6487.0;FULTON ST
2010-06-02 12:00:00;4338.0;3202.0;FULTON ST
2010-06-02 16:00:00;9914.0;2282.0;FULTON ST
2010-06-02 20:00:00;9434.0;1573.0;FULTON ST
2010-06-03 00:00:00;1293.0;411.0;FULTON ST
2010-06-03 04:00:00;320.0;523.0;FULTON ST
2010-06-03 08:00:00;2006.0;4622.0;FULTON ST
2010-06-03 12:00:00;2986.0;2595.0;FULTON ST
2010-06-03 16:00:00;7389.0;1470.0;FULTON ST
2010-06-03 20:00:00;9712.0;2162.0;FULTON ST
2010-06-04 00:00:00;1395.0;429.0;FULTON ST
2010-06-04 04:00:00;208.0;357.0;FULTON ST
2010-06-04 08:00:00;3006.0;5813.0;FULTON ST
2010-06-04 12:00:00;4616.0;3634.0;FULTON ST
2010-06-04 16:00:00;9995.0;2869.0;FULTON ST
2010-06-04 20:00:00;9003.0;2101.0;FULTON ST
2010-06-05 04:00:00;164.0;141.0;FULTON ST
2010-06-05 08:00:00;421.0;751.0;FULTON ST
2010-06-05 12:00:00;1175.0;1515.0;FULTON ST
2010-06-05 16:00:00;2257.0;1768.0;FULTON ST
2010-06-05 20:00:00;2221.0;1393.0;FULTON ST
2010-06-06 00:00:00;1070.0;667.0;FULTON ST
2010-06-06 04:00:00;189.0;166.0;FULTON ST
2010-06-06 08:00:00;276.0;355.0;FULTON ST
2010-06-06 12:00:00;968.0;1153.0;FULTON ST
2010-06-06 16:00:00;1615.0;1251.0;FULTON ST
2010-06-06 20:00:00;1383.0;732.0;FULTON ST
2010-06-07 00:00:00;505.0;380.0;FULTON ST
2010-06-07 04:00:00;330.0;1559.0;FULTON ST
2010-06-07 08:00:00;1904.0;5173.0;FULTON ST
2010-06-07 12:00:00;2744.0;4691.0;FULTON ST
